id;2013;2014;2015
1;0,756198258;0,865066374;0,77739732
2;0,736649793;0,653833412;0,773136428
3;0,728834213;0,738456225;0,234631233
4;0,291633901;0,045477027;0,920120531
5;0,26693591;0,675629349;0,021701989
6;0,49692277;0,957669092;0,138059715
4;0,791298977;0,556600552;0,70507698
1;0,78380883;0,229973566;0,577750803
2;0,85757629;0,870105045;0,350437669
3;0,544727112;0,374096274;0,477596244
4;0,682793349;0,144578717;0,07436854
5;0,579392487;0,084848183;0,897282661
6;0,548876471;0,379321135;0,15671239
4;0,105976667;0,344507009;0,625075158
